x,y
2.81078,-9.49028
2.20521,-12.7325
2.41627,-11.0388
2.51944,-10.629
2.49795,-10.6295
0.0159736,-0.667675
4.03863,-8.82133
1.21503,1.92814
4.01464,-8.70091
0.00815012,0.150923
4.68785,-2.13642
0.99533,4.71257
0.7732,3.3538
0.735879,4.43354
3.33611,-28.2694
1.74943,-1.55906
1.38939,0.764012
0.143394,0.391859
4.32376,-6.93294
0.0998751,0.40645
3.85063,-11.9058
3.23542,-20.0215
3.57478,-28.5217
2.25257,-14.1777
2.00878,-6.61312
3.16087,-17.1023
1.71476,-1.64057
4.00757,-8.20828
3.08736,-12.8651
0.888697,6.28147
0.256801,1.25553
3.28689,-24.0861
2.84599,-8.90282
4.40542,-7.33951
0.298068,1.80948
1.5051,1.04398
3.64459,-22.6432
4.23658,-7.79444
3.82945,-12.0
3.10276,-14.447
4.19827,-6.27569
2.19925,-12.1055
0.884431,5.97764
1.78826,-2.3715
0.578315,3.11719
3.63714,-23.2764
2.11102,-9.99867
0.667344,3.51624
1.55993,-0.884959
3.00456,-10.7354
2.89397,-8.83366
4.93853,6.43689
4.63847,-3.71261
0.882747,4.4896
1.51856,0.0854773
4.36394,-6.56624
2.38895,-13.1908
1.22473,1.69451
3.82519,-13.6944
0.205188,0.819299
2.0152,-5.85461
4.8977,5.49273
0.517442,1.24129
0.7775,3.20759
4.45079,-6.24268
0.020328,-0.854994
3.37172,-31.1209
1.38278,1.60641
4.38388,-7.45995
3.45399,-33.3974
1.25304,1.41516
3.77674,-15.8648
0.547045,1.00061
4.68375,-1.32831
0.548893,1.11014
3.98266,-9.3689
2.32218,-12.7194
1.9678,-5.74462
0.287456,0.271569
1.44064,1.46911
2.28921,-14.4348
2.8356,-8.46992
3.2642,-22.6131
1.41913,1.02704
2.38735,-12.5321
3.40584,-32.2362
4.15959,-6.53318
2.1765,-12.5963
2.60565,-8.27761
2.56123,-9.39936
0.414439,1.16092
4.37027,-5.94966
3.73259,-16.8568
3.70913,-18.0719
0.764654,4.0189
2.2877,-13.0982
0.88838,4.42716
0.378038,0.972956
3.30432,-25.9996
2.5628,-9.29795
2.86187,-9.98451
4.512,-5.38731
1.73181,-0.587344
4.8724,6.03276
0.906505,6.37966
4.60643,-3.54328
3.66876,-21.7765
4.70556,-0.943812
2.87041,-8.37455
1.26979,1.55965
3.22609,-20.3122
0.142924,0.761912
0.531109,1.30407
1.2948,1.08304
3.48746,-32.2633
3.01376,-11.8673
4.71024,0.180239
4.93419,7.95804
4.67309,-1.04624
4.44889,-5.63338
2.86504,-8.37376
4.6639,-1.78916
3.14088,-14.7019
1.35135,2.13743
3.86953,-11.4931
1.4445,-0.14836
2.41126,-11.4206
2.93518,-10.446
0.321854,0.6248
1.63394,-0.733756
0.749224,4.20833
3.20132,-18.7529
4.52219,-6.30902
4.86169,5.23901
4.40339,-7.41599
2.5689,-9.71198
3.48264,-32.3061
2.77851,-9.0516
0.324966,0.150197
0.159327,1.55245
0.0468804,0.546903
1.80168,-1.92547
3.76104,-14.8536
1.18936,3.31352
1.65525,0.0339142
4.88096,6.99192
0.100279,1.30019
2.66595,-7.89236
1.32418,1.45191
0.787739,4.24141
4.12799,-7.66654
1.7921,-1.43042
2.77147,-8.12099
4.02234,-9.17597
4.34509,-6.28113
4.7463,1.83892
2.964,-11.2936
4.88122,6.5781
3.02022,-12.3429
3.86298,-12.1131
0.601804,2.99883
4.84816,6.18239
0.112018,-0.200178
2.5546,-10.2801
3.14769,-16.302
1.85771,-1.52337
3.12186,-14.7353
4.50045,-6.25179
0.283001,0.463616
4.75412,2.81991
3.63014,-24.1762
3.07184,-14.063
3.75043,-16.1924
1.91702,-3.7507
3.26765,-23.1013
1.4718,1.21561
2.02157,-6.24375
3.00471,-10.5439
2.29948,-13.2517
4.01326,-8.76928
4.45558,-6.0881
3.01381,-11.1007
0.357588,0.661592
2.91501,-9.51946
1.34735,1.05317
2.57265,-10.2612
0.454643,1.6968
3.00867,-10.4333
1.04571,5.19191
3.91072,-10.726
3.11736,-14.9171
1.8945,-3.16074
1.53046,1.02401
3.75166,-16.037
3.14885,-16.4758
2.80151,-8.61416
0.160404,0.133601
2.11217,-10.6217
1.27479,1.60836
4.69051,-0.155225
